MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,Run1 (ms),Run2 (ms),Run3 (ms),Run4 (ms)
16,16,16,8,8,8,8,2,2,1,0,1,1,1,74.12,72.25,75.28,77.18
16,16,16,8,8,8,8,2,2,1,1,0,0,0,73.16,72,72.93,76.6
16,16,16,8,8,8,8,2,2,1,1,0,0,1,71.2,70.22,71.55,75.93
16,16,16,8,8,8,8,2,2,1,1,0,1,0,62.38,60.36,62.7,69.1
16,16,16,8,8,8,8,2,2,1,1,0,1,1,61.43,61.71,62.36,64.71
16,16,16,8,8,8,8,2,2,1,1,1,0,0,74.73,74.77,76.03,79.5
16,16,16,8,8,8,8,2,2,1,1,1,0,1,74.05,73.87,74.93,79.14
16,16,16,8,8,8,8,2,2,1,1,1,1,0,64.26,63.57,64.02,67.27
16,16,16,8,8,8,8,2,2,1,1,1,1,1,73.44,73.51,72.95,76.49
16,16,16,8,8,8,8,2,2,2,0,0,0,0,60.67,60.25,61.37,65.92
16,16,16,8,8,8,8,2,2,2,0,0,0,1,55.01,55.82,56.05,59.73
16,16,16,8,8,8,8,2,2,2,0,0,1,0,51.34,51.8,52.25,56.2
16,16,16,8,8,8,8,2,2,2,0,0,1,1,52.78,52.22,53.45,55.33
16,16,16,8,8,8,8,2,2,2,0,1,0,0,60.33,60.91,61.55,66.01
16,16,16,8,8,8,8,2,2,2,0,1,0,1,55.75,55.01,56.88,59.12
16,16,16,8,8,8,8,2,2,2,0,1,1,0,53.3,53.58,54.6,58.2
16,16,16,8,8,8,8,2,2,2,0,1,1,1,52.9,53.3,54.23,55.72
16,16,16,8,8,8,8,2,2,2,1,0,0,0,61.43,60.23,61.77,65.96
16,16,16,8,8,8,8,2,2,2,1,0,0,1,56.75,57.07,57,60.98
16,16,16,8,8,8,8,2,2,2,1,0,1,0,52.37,51.9,52.57,55.93
16,16,16,8,8,8,8,2,2,2,1,0,1,1,52.21,53,54.05,54.79
16,16,16,8,8,8,8,2,2,2,1,1,0,0,61.69,60.58,61.45,65.96
16,16,16,8,8,8,8,2,2,2,1,1,0,1,56.89,57.18,57.86,60.94
16,16,16,8,8,8,8,2,2,2,1,1,1,0,53.33,53.89,54.6,58.4
16,16,16,8,8,8,8,2,2,2,1,1,1,1,53.02,51.87,54.42,55.5
16,16,16,8,8,8,8,8,1,1,0,0,0,0,89.68,89.22,89.67,95.54
16,16,16,8,8,8,8,8,1,1,0,0,0,1,80.67,80.6,80.7,85.77
16,16,16,8,8,8,8,8,1,1,0,0,1,0,81.19,81.9,82.19,87.52
16,16,16,8,8,8,8,8,1,1,0,0,1,1,86.26,86.05,86.21,90.67
16,16,16,8,8,8,8,8,1,1,0,1,0,0,90.01,89.81,90.89,96.6
16,16,16,8,8,8,8,8,1,1,0,1,0,1,83.31,83.34,83.5,85.86
16,16,16,8,8,8,8,8,1,1,0,1,1,0,81.05,82.26,82.44,85.01
16,16,16,8,8,8,8,8,1,1,0,1,1,1,95.1,94.81,94.69,95.2
16,16,16,8,8,8,8,8,1,1,1,0,0,0,90.6,93.11,92.76,96.13
16,16,16,8,8,8,8,8,1,1,1,0,0,1,86.58,87.75,87.68,88.49
16,16,16,8,8,8,8,8,1,1,1,0,1,0,84.68,86.01,85.9,86.58
16,16,16,8,8,8,8,8,1,1,1,0,1,1,87.22,87.44,87.59,87.78
16,16,16,8,8,8,8,8,1,1,1,1,0,0,95.81,95.52,95.83,96.28
16,16,16,8,8,8,8,8,1,1,1,1,0,1,92.78,93.83,92.35,94.06
16,16,16,8,8,8,8,8,1,1,1,1,1,0,84.57,86.06,85.65,86.54
16,16,16,8,8,8,8,8,1,1,1,1,1,1,105.56,106.07,106.1,106.71
16,16,16,8,8,8,8,8,1,2,0,0,0,0,71.91,72.67,73,73.06
16,16,16,8,8,8,8,8,1,2,0,0,0,1,65,65.87,65.81,66.06
16,16,16,8,8,8,8,8,1,2,0,0,1,0,70.5,71.54,71.52,71.57
16,16,16,8,8,8,8,8,1,2,0,0,1,1,63.1,63.11,63.26,62.77
16,16,16,8,8,8,8,8,1,2,0,1,0,0,72.82,72.11,72.76,72.8
16,16,16,8,8,8,8,8,1,2,0,1,0,1,66.21,65.5,65.98,66.03
16,16,16,8,8,8,8,8,1,2,0,1,1,0,70.06,71.1,70.99,71.06
16,16,16,8,8,8,8,8,1,2,0,1,1,1,62.41,64.12,64.24,64.49
16,16,16,8,8,8,8,8,1,2,1,0,0,0,74.3,75.29,75.75,75.84
16,16,16,8,8,8,8,8,1,2,1,0,0,1,70.68,70.59,71.31,71.26
16,16,16,8,8,8,8,8,1,2,1,0,1,0,73.19,74.41,74.6,74.26
16,16,16,8,8,8,8,8,1,2,1,0,1,1,75.27,76.52,75.39,76.98
16,16,16,8,8,8,8,8,1,2,1,1,0,0,75.64,75.51,76.93,75.36
16,16,16,8,8,8,8,8,1,2,1,1,0,1,69.76,71.41,71.28,70.01
16,16,16,8,8,8,8,8,1,2,1,1,1,0,74.45,74.64,74.35,74.55
16,16,16,8,8,8,8,8,1,2,1,1,1,1,76.34,76.75,76.52,76.74
16,16,16,8,8,8,8,8,2,1,0,0,0,0,70.83,72.09,72,71.87
16,16,16,8,8,8,8,8,2,1,0,0,0,1,68.68,69.8,69.78,69.66
16,16,16,8,8,8,8,8,2,1,0,0,1,0,64.97,65.09,64,65.17
16,16,16,8,8,8,8,8,2,1,0,0,1,1,62.07,60.63,61.43,62.81
16,16,16,8,8,8,8,8,2,1,0,1,0,0,71.44,71.83,71.5,72.01
16,16,16,8,8,8,8,8,2,1,0,1,0,1,72.57,73.83,73.1,73.68
16,16,16,8,8,8,8,8,2,1,0,1,1,0,61.74,63.56,62.75,63.85
16,16,16,8,8,8,8,8,2,1,0,1,1,1,73.26,75.15,74.37,72.73
16,16,16,8,8,8,8,8,2,1,1,0,0,0,71.72,71.71,71.88,71.85
16,16,16,8,8,8,8,8,2,1,1,0,0,1,71.44,71.7,71.72,71.71
16,16,16,8,8,8,8,8,2,1,1,0,1,0,65.34,63.87,65.47,64.55
16,16,16,8,8,8,8,8,2,1,1,0,1,1,62.51,61.11,63.25,62.8
16,16,16,8,8,8,8,8,2,1,1,1,0,0,71.85,72.3,71.51,72.18
16,16,16,8,8,8,8,8,2,1,1,1,0,1,74.17,73.65,73.21,73.69
16,16,16,8,8,8,8,8,2,1,1,1,1,0,62.99,63.55,62.33,63.08
16,16,16,8,8,8,8,8,2,1,1,1,1,1,71.25,74.68,74.07,74.42
16,16,16,8,8,8,8,8,2,2,0,0,0,0,58.11,58.62,58.89,58.48
16,16,16,8,8,8,8,8,2,2,0,0,0,1,55.01,55.59,55.94,55.94
16,16,16,8,8,8,8,8,2,2,0,0,1,0,51.63,52.65,53.23,53.03
16,16,16,8,8,8,8,8,2,2,0,0,1,1,52.88,53.96,53.43,53.75
16,16,16,8,8,8,8,8,2,2,0,1,0,0,59.02,58.92,58.9,58.95
16,16,16,8,8,8,8,8,2,2,0,1,0,1,56.04,55.97,55.95,55.27
16,16,16,8,8,8,8,8,2,2,0,1,1,0,53.23,52.26,53.38,53.28
16,16,16,8,8,8,8,8,2,2,0,1,1,1,54.4,54.28,54.09,53.91
16,16,16,8,8,8,8,8,2,2,1,0,0,0,59.24,59.34,58.54,58.96
16,16,16,8,8,8,8,8,2,2,1,0,0,1,57.62,57.03,56.17,56.95
16,16,16,8,8,8,8,8,2,2,1,0,1,0,52.48,53.51,53.32,53.21
16,16,16,8,8,8,8,8,2,2,1,0,1,1,54.16,53.94,53.27,54.29
16,16,16,8,8,8,8,8,2,2,1,1,0,0,57.73,59.26,58.99,58.56
16,16,16,8,8,8,8,8,2,2,1,1,0,1,57.58,56.65,57.14,56.02
16,16,16,8,8,8,8,8,2,2,1,1,1,0,53.15,52.5,53.18,53.18
16,16,16,8,8,8,8,8,2,2,1,1,1,1,54.39,53.47,54.27,53.29
16,16,16,8,8,8,16,2,1,1,0,0,0,0,115.08,113.94,117.69,115.8
16,16,16,8,8,8,16,2,1,1,0,0,0,1,72.24,71.83,72.16,72.06
16,16,16,8,8,8,16,2,1,1,0,0,1,0,80.66,80.51,80.51,80.71
16,16,16,8,8,8,16,2,1,1,0,0,1,1,72.69,72.65,72.75,72.44
16,16,16,8,8,8,16,2,1,1,0,1,0,0,114.36,115.09,114.16,114.53
16,16,16,8,8,8,16,2,1,1,0,1,0,1,71.12,72.16,72.17,72.27
16,16,16,8,8,8,16,2,1,1,0,1,1,0,82.97,83.1,83.17,83.08
16,16,16,8,8,8,16,2,1,1,0,1,1,1,72.97,72.65,72.31,73.08
16,16,16,8,8,8,16,2,1,1,1,0,0,0,117.61,116.06,117.62,117.39
16,16,16,8,8,8,16,2,1,1,1,0,0,1,80.1,79.48,80.01,80.08
16,16,16,8,8,8,16,2,1,1,1,0,1,0,84.63,84.58,84.45,84.4
16,16,16,8,8,8,16,2,1,1,1,0,1,1,80.45,79.88,80.8,80.58
16,16,16,8,8,8,16,2,1,1,1,1,0,0,118.16,118.15,118.72,118.59
16,16,16,8,8,8,16,2,1,1,1,1,0,1,79.79,80.22,80.28,78.99
16,16,16,8,8,8,16,2,1,1,1,1,1,0,86.84,86.27,86.26,86.65
16,16,16,8,8,8,16,2,1,1,1,1,1,1,80.48,80.43,80.17,80.93
16,16,16,8,8,8,16,2,2,1,0,0,0,0,73.43,72.93,73.48,73.29
16,16,16,8,8,8,16,2,2,1,0,0,0,1,68.41,67.95,67.87,68.4
16,16,16,8,8,8,16,2,2,1,0,0,1,0,62.73,62.06,62.16,62.43
16,16,16,8,8,8,16,2,2,1,0,0,1,1,53.53,52.97,53.99,53.72
16,16,16,8,8,8,16,2,2,1,0,1,0,0,74.33,76.49,76.15,76.19
16,16,16,8,8,8,16,2,2,1,0,1,0,1,67.58,67.64,68.08,67.7
16,16,16,8,8,8,16,2,2,1,0,1,1,0,64.1,64.65,64.88,64.69
16,16,16,8,8,8,16,2,2,1,0,1,1,1,57,57.09,57.19,57.16
16,16,16,8,8,8,16,2,2,1,1,0,0,0,73.59,73.48,73.53,73.02
16,16,16,8,8,8,16,2,2,1,1,0,0,1,65.65,65.23,65.71,65.64
16,16,16,8,8,8,16,2,2,1,1,0,1,0,62.2,62.65,63.34,62.84
16,16,16,8,8,8,16,2,2,1,1,0,1,1,53.95,53.81,53.81,53.64
16,16,16,8,8,8,16,2,2,1,1,1,0,0,75.95,75.59,75.77,75.87
16,16,16,8,8,8,16,2,2,1,1,1,0,1,64.02,64.5,64.45,64.39
16,16,16,8,8,8,16,2,2,1,1,1,1,0,64.8,64.16,64.02,64.66
16,16,16,8,8,8,16,2,2,1,1,1,1,1,57.03,56.61,56.97,57.13
16,16,16,8,8,8,16,8,1,1,0,0,0,0,89.67,89.96,89.81,90.19
16,16,16,8,8,8,16,8,1,1,0,0,0,1,73.87,73.91,73.91,73.77
16,16,16,8,8,8,16,8,1,1,0,0,1,0,82.03,82.3,82.06,82.22
16,16,16,8,8,8,16,8,1,1,0,0,1,1,73.53,73.12,73.05,73.17
16,16,16,8,8,8,16,8,1,1,0,1,0,0,90.5,89.59,89.7,90.39
16,16,16,8,8,8,16,8,1,1,0,1,0,1,75.37,75.35,75.41,75.46
16,16,16,8,8,8,16,8,1,1,0,1,1,0,82.18,82.38,82.67,82.25
16,16,16,8,8,8,16,8,1,1,0,1,1,1,72.84,72.61,72.88,72.99
16,16,16,8,8,8,16,8,1,1,1,0,0,0,91.85,91.87,92.7,91.69
16,16,16,8,8,8,16,8,1,1,1,0,0,1,81.17,83.05,81.43,81.3
16,16,16,8,8,8,16,8,1,1,1,0,1,0,85.86,85.75,85.65,86.13
16,16,16,8,8,8,16,8,1,1,1,0,1,1,80.58,80.47,80.18,80.89
16,16,16,8,8,8,16,8,1,1,1,1,0,0,95.5,95.73,95.63,95.51
16,16,16,8,8,8,16,8,1,1,1,1,0,1,81.65,81.52,80.66,81.49
16,16,16,8,8,8,16,8,1,1,1,1,1,0,85.71,85.89,85.42,85.57
16,16,16,8,8,8,16,8,1,1,1,1,1,1,80.46,80.49,80.73,80.6
16,16,16,8,8,8,16,8,2,1,0,0,0,0,72.02,71.94,71.85,71.9
16,16,16,8,8,8,16,8,2,1,0,0,0,1,65.62,65.89,66.1,66.15
16,16,16,8,8,8,16,8,2,1,0,0,1,0,64.86,64.8,64.79,64.47
16,16,16,8,8,8,16,8,2,1,0,0,1,1,52.83,53.69,53.61,53.92
16,16,16,8,8,8,16,8,2,1,0,1,0,0,71.61,72.41,71.96,71.53
16,16,16,8,8,8,16,8,2,1,0,1,0,1,66.86,66.91,66.84,66.59
16,16,16,8,8,8,16,8,2,1,0,1,1,0,62.05,63.91,63.38,62.83
16,16,16,8,8,8,16,8,2,1,0,1,1,1,57.03,57.03,57.03,57.09
16,16,16,8,8,8,16,8,2,1,1,0,0,0,71.74,72.04,71.75,72.04
16,16,16,8,8,8,16,8,2,1,1,0,0,1,65.15,64.6,65.06,64.57
16,16,16,8,8,8,16,8,2,1,1,0,1,0,64.77,63.99,64.55,64.02
16,16,16,8,8,8,16,8,2,1,1,0,1,1,53.58,51.85,53.73,53.75
16,16,16,8,8,8,16,8,2,1,1,1,0,0,71.77,71.73,71.47,71.14
16,16,16,8,8,8,16,8,2,1,1,1,0,1,67.54,67.85,67.78,67.79
16,16,16,8,8,8,16,8,2,1,1,1,1,0,62.99,62.28,63.03,63.17
16,16,16,8,8,8,16,8,2,1,1,1,1,1,57.08,57.06,57.04,56.85
16,16,16,8,8,16,8,2,1,1,0,0,0,0,115.11,114.89,115.31,118.17
16,16,16,8,8,16,8,2,1,1,0,0,0,1,79.21,79.22,79.19,79.16
16,16,16,8,8,16,8,2,1,1,0,0,1,0,72.7,73.79,72.85,72.76
16,16,16,8,8,16,8,2,1,1,0,0,1,1,75.59,75.63,76.18,75.92
16,16,16,8,8,16,8,2,1,1,0,1,0,0,114.18,114.38,115.36,114.84
16,16,16,8,8,16,8,2,1,1,0,1,0,1,81.72,81.88,82,82.09
16,16,16,8,8,16,8,2,1,1,0,1,1,0,74.69,75.05,74.8,74.39
16,16,16,8,8,16,8,2,1,1,0,1,1,1,83.16,83.39,83.65,83.09
16,16,16,8,8,16,8,2,1,1,1,0,0,0,117.08,118.53,117.73,117.05
16,16,16,8,8,16,8,2,1,1,1,0,0,1,86.74,86.35,86.93,86.37
16,16,16,8,8,16,8,2,1,1,1,0,1,0,72.92,72.89,72.68,72.69
16,16,16,8,8,16,8,2,1,1,1,0,1,1,74.44,74.18,74.33,74.49
16,16,16,8,8,16,8,2,1,1,1,1,0,0,117.83,118.35,118.11,118.08
16,16,16,8,8,16,8,2,1,1,1,1,0,1,93.26,94.14,92.71,93.57
16,16,16,8,8,16,8,2,1,1,1,1,1,0,74.23,74.39,74.64,74.65
16,16,16,8,8,16,8,2,1,1,1,1,1,1,81.72,81.67,81.97,82.89
16,16,16,8,8,16,8,2,1,2,0,0,0,0,77.75,76.8,77.79,77.8
16,16,16,8,8,16,8,2,1,2,0,0,0,1,65.32,66.9,65.43,65.28
16,16,16,8,8,16,8,2,1,2,0,0,1,0,66.02,66.38,66.01,66.01
16,16,16,8,8,16,8,2,1,2,0,0,1,1,58.66,59.74,58.56,58.55
16,16,16,8,8,16,8,2,1,2,0,1,0,0,77.81,79.02,77.8,77.81
16,16,16,8,8,16,8,2,1,2,0,1,0,1,65.86,66.19,65.65,65.27
16,16,16,8,8,16,8,2,1,2,0,1,1,0,64.16,65.28,64.24,64.11
16,16,16,8,8,16,8,2,1,2,0,1,1,1,58.42,59.85,58.76,58.52
16,16,16,8,8,16,8,2,1,2,1,0,0,0,79.96,79.88,79.79,79.82
16,16,16,8,8,16,8,2,1,2,1,0,0,1,69.73,70.62,70.38,70.45
16,16,16,8,8,16,8,2,1,2,1,0,1,0,69.09,70.33,69.17,69.23
16,16,16,8,8,16,8,2,1,2,1,0,1,1,57.85,57.83,58.61,57.95
16,16,16,8,8,16,8,2,1,2,1,1,0,0,79.94,79.79,79.61,79.75
16,16,16,8,8,16,8,2,1,2,1,1,0,1,70.34,71.64,70.89,69.68
16,16,16,8,8,16,8,2,1,2,1,1,1,0,67.71,65.84,64.8,64.74
16,16,16,8,8,16,8,2,1,2,1,1,1,1,60.52,59.91,57.96,58.57
16,16,16,8,8,16,8,8,1,1,0,0,0,0,96.32,89.96,89.73,89.74
16,16,16,8,8,16,8,8,1,1,0,0,0,1,85.88,80.63,80.65,80.75
16,16,16,8,8,16,8,8,1,1,0,0,1,0,78.99,74.22,73.98,74.11
16,16,16,8,8,16,8,8,1,1,0,0,1,1,80.11,76.79,75.81,75.75
16,16,16,8,8,16,8,8,1,1,0,1,0,0,96.04,90.84,89.85,89.78
16,16,16,8,8,16,8,8,1,1,0,1,0,1,88.28,84.63,83.45,83.22
16,16,16,8,8,16,8,8,1,1,0,1,1,0,81.2,76.14,74.58,75.08
16,16,16,8,8,16,8,8,1,1,0,1,1,1,85.61,82.87,83.37,83.92
16,16,16,8,8,16,8,8,1,1,1,0,0,0,98.95,94.72,92.75,92.78
16,16,16,8,8,16,8,8,1,1,1,0,0,1,91.69,87.29,88.15,88.18
16,16,16,8,8,16,8,8,1,1,1,0,1,0,81.02,76.16,75.92,75.98
16,16,16,8,8,16,8,8,1,1,1,0,1,1,79.11,74.39,74.13,74.08
16,16,16,8,8,16,8,8,1,1,1,1,0,0,99.92,95.55,95.63,95.4
16,16,16,8,8,16,8,8,1,1,1,1,0,1,97.51,94.61,93.19,93.61
16,16,16,8,8,16,8,8,1,1,1,1,1,0,76.01,74.84,74.87,74.99
16,16,16,8,8,16,8,8,1,1,1,1,1,1,82.75,83.22,82.6,82.63
16,16,16,8,8,16,8,8,1,2,0,0,0,0,74.33,72.07,72.71,72.91
16,16,16,8,8,16,8,8,1,2,0,0,0,1,67.45,65.72,66.07,66.37
16,16,16,8,8,16,8,8,1,2,0,0,1,0,67.48,67.17,66.07,66.14
16,16,16,8,8,16,8,8,1,2,0,0,1,1,59,59.09,58.26,58.59
16,16,16,8,8,16,8,8,1,2,0,1,0,0,74.55,74.08,72.73,72.84
16,16,16,8,8,16,8,8,1,2,0,1,0,1,67.16,66.33,66.13,66.33
16,16,16,8,8,16,8,8,1,2,0,1,1,0,67.39,67.19,66,66.01
16,16,16,8,8,16,8,8,1,2,0,1,1,1,58.9,58.99,58.15,57.82
16,16,16,8,8,16,8,8,1,2,1,0,0,0,77.19,75.73,75.38,75.74
16,16,16,8,8,16,8,8,1,2,1,0,0,1,71.67,71.98,70.78,69.89
16,16,16,8,8,16,8,8,1,2,1,0,1,0,70.58,70.41,69.02,69.13
16,16,16,8,8,16,8,8,1,2,1,0,1,1,59.15,58.48,58.7,58.32
16,16,16,8,8,16,8,8,1,2,1,1,0,0,77.02,74.78,75.57,75.84
16,16,16,8,8,16,8,8,1,2,1,1,0,1,70.88,70.7,69.89,70.63
16,16,16,8,8,16,8,8,1,2,1,1,1,0,69.49,68.2,68.08,68.09
16,16,16,8,8,16,8,8,1,2,1,1,1,1,59.12,59.01,58.43,58.65
16,16,16,8,8,16,16,2,1,1,0,0,0,0,117.74,116.89,113.08,117.9
16,16,16,8,8,16,16,2,1,1,0,0,0,1,72.09,72.26,72.23,72.23
16,16,16,8,8,16,16,2,1,1,0,0,1,0,72.99,71.95,72.81,72.95
16,16,16,8,8,16,16,2,1,1,0,0,1,1,66.11,66.17,65.97,66.27
16,16,16,8,8,16,16,2,1,1,0,1,0,0,114.08,114.8,113.85,114.6
16,16,16,8,8,16,16,2,1,1,0,1,0,1,72.15,73.36,72.08,72.07
16,16,16,8,8,16,16,2,1,1,0,1,1,0,74.68,75.66,74.43,74.67
16,16,16,8,8,16,16,2,1,1,0,1,1,1,67.07,67.31,66.96,66.98
16,16,16,8,8,16,16,2,1,1,1,0,0,0,116.39,117.84,118.45,118.24
16,16,16,8,8,16,16,2,1,1,1,0,0,1,79.49,80.29,78.69,78.74
16,16,16,8,8,16,16,2,1,1,1,0,1,0,72.91,72.08,72.77,72.72
16,16,16,8,8,16,16,2,1,1,1,0,1,1,66.97,67.07,66.94,66.81
16,16,16,8,8,16,16,2,1,1,1,1,0,0,118.27,120.59,118.64,118.39
16,16,16,8,8,16,16,2,1,1,1,1,0,1,78.13,79.93,79.86,79.79
16,16,16,8,8,16,16,2,1,1,1,1,1,0,74.37,75.34,74.19,74.17
16,16,16,8,8,16,16,2,1,1,1,1,1,1,66.72,66.96,66.84,66.87
16,16,16,8,8,16,16,8,1,1,0,0,0,0,89.69,89.11,90.24,89.83
16,16,16,8,8,16,16,8,1,1,0,0,0,1,73.85,75.11,73.91,73.87
16,16,16,8,8,16,16,8,1,1,0,0,1,0,74.18,74.06,73.92,74.03
16,16,16,8,8,16,16,8,1,1,0,0,1,1,66.34,66.13,66.25,66.35
16,16,16,8,8,16,16,8,1,1,0,1,0,0,89.97,89.77,89.77,89.57
16,16,16,8,8,16,16,8,1,1,0,1,0,1,75.27,75.54,75.51,75.39
16,16,16,8,8,16,16,8,1,1,0,1,1,0,74.77,74.02,74.72,75.18
16,16,16,8,8,16,16,8,1,1,0,1,1,1,66.48,66.52,66.65,66.22
16,16,16,8,8,16,16,8,1,1,1,0,0,0,91.98,92.78,92.65,93.05
16,16,16,8,8,16,16,8,1,1,1,0,0,1,82.25,82.1,83.45,83.16
16,16,16,8,8,16,16,8,1,1,1,0,1,0,76.01,76,75.88,75.92
16,16,16,8,8,16,16,8,1,1,1,0,1,1,66.65,66.63,66.57,66.11
16,16,16,8,8,16,16,8,1,1,1,1,0,0,95.82,95.63,95.43,95.54
16,16,16,8,8,16,16,8,1,1,1,1,0,1,81.56,82.28,82.26,81.49
16,16,16,8,8,16,16,8,1,1,1,1,1,0,75.09,74.95,74.85,74.91
16,16,16,8,8,16,16,8,1,1,1,1,1,1,66.7,66.65,66.76,66.64
16,16,16,8,16,8,8,2,1,1,0,0,0,0,131,131.01,131.03,131.12
16,16,16,8,16,8,8,2,1,1,0,0,0,1,118.16,118.14,118.17,118.16
16,16,16,8,16,8,8,2,1,1,0,0,1,0,94.84,94.78,94.84,94.8
16,16,16,8,16,8,8,2,1,1,0,0,1,1,92.91,93.63,93.71,93.68
16,16,16,8,16,8,8,2,1,1,0,1,0,0,130.99,130.97,131.14,131.26
16,16,16,8,16,8,8,2,1,1,0,1,0,1,119.77,119.8,119.77,119.81
16,16,16,8,16,8,8,2,1,1,0,1,1,0,94.87,94.87,94.88,94.85
16,16,16,8,16,8,8,2,1,1,0,1,1,1,96.45,96.51,96.47,96.47
16,16,16,8,16,8,8,2,1,1,1,0,0,0,138.76,138.8,138.94,138.84
16,16,16,8,16,8,8,2,1,1,1,0,0,1,124.45,124.39,124.34,123.32
16,16,16,8,16,8,8,2,1,1,1,0,1,0,95.23,95.23,95.17,95.2
16,16,16,8,16,8,8,2,1,1,1,0,1,1,96.2,96.16,96.2,96.21
16,16,16,8,16,8,8,2,1,1,1,1,0,0,138.76,138.68,138.77,138.85
16,16,16,8,16,8,8,2,1,1,1,1,0,1,126.09,126.13,126.04,126.05
16,16,16,8,16,8,8,2,1,1,1,1,1,0,95.26,95.18,95.23,95.2
16,16,16,8,16,8,8,2,1,1,1,1,1,1,103.9,104.36,104.24,104.42
16,16,16,8,16,8,8,2,2,1,0,0,0,0,111.91,111.99,112.11,112.13
16,16,16,8,16,8,8,2,2,1,0,0,0,1,94.72,94.75,94.84,94.76
16,16,16,8,16,8,8,2,2,1,0,0,1,0,70.78,70.61,70.78,70.67
16,16,16,8,16,8,8,2,2,1,0,0,1,1,68.11,68.03,68.02,68.11
16,16,16,8,16,8,8,2,2,1,0,1,0,0,112.13,111.81,111.95,112.15
16,16,16,8,16,8,8,2,2,1,0,1,0,1,95.98,95.94,96.02,95.97
16,16,16,8,16,8,8,2,2,1,0,1,1,0,70.59,70.73,70.7,70.64
16,16,16,8,16,8,8,2,2,1,0,1,1,1,70.56,70.52,70.72,70.72
16,16,16,8,16,8,8,2,2,1,1,0,0,0,112.01,112.17,111.94,112
16,16,16,8,16,8,8,2,2,1,1,0,0,1,94.37,94.29,94.31,94.32
